"id","product","cpu","ram","price","typename","inches","screenresolution","memory","gpu","opsys","weight","image","recommended","selected","headset","keyboard","mouse","checkout"
13,"Inspiron 3552","Intel Pentium Quad Core N3700 1.6GHz",4,35008,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics","Windows 10","2.2kg","Inspiron 3552.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
54,"Inspiron 5368","Intel Core i5 6200U 2.3GHz",8,51173,"Notebook","13.3","Full HD / Touchscreen 1920x1080","1TB HDD","Intel HD Graphics 520","Windows 10","1.62kg","Inspiron 5368.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
20,"Inspiron 3567","Intel Core i3 7100U 2.4GHz",8,36981,"Notebook","15.6","Touchscreen 1366x768","1TB HDD","Intel HD Graphics 620","Windows 10","2.3kg","Inspiron 3567.jpg",0,0,"DE-KB-2234","UC300 with Mic","WM126 optical red",0
51,"Inspiron 3576","Intel Core i5 8250U 1.6GHz",8,51015,"Notebook","15.6","Full HD 1920x1080","1TB HDD","AMD Radeon 520","Linux","2.2kg","Inspiron 3576.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
53,"Inspiron 3567","Intel Core i5 7200U 2.5GHz",12,51173,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 620","Windows 10","2.25kg","Inspiron 3567.jpg",5,1,"KB216 ","UC300 with Mic","WM118 optical",1
55,"Vostro 3568","Intel Core i5 7200U 2.5GHz",4,51804,"Notebook","15.6","Full HD 1920x1080","1TB HDD","Intel HD Graphics 620","Windows 10","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
59,"Vostro 3568","Intel Core i3 6006U 2GHz",8,52435,"Notebook","15.6","1366x768","256GB SSD","Intel HD Graphics 520","Windows 10","2kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
58,"Inspiron 5570","Intel Core i5 8250U 1.6GHz",8,52277,"Ultrabook","15.6","Full HD 1920x1080","1TB HDD","AMD Radeon 530","Windows 10","1.9kg","Inspiron 5570.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
64,"Vostro 3568","Intel Core i5 7200U 2.5GHz",4,55830,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 620","Windows 10","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
60,"Inspiron 3576","Intel Core i5 8250U 1.6GHz",8,53223,"Notebook","15.6","Full HD 1920x1080","1TB HDD","AMD Radeon 520","Windows 10","2.2kg","Inspiron 3576.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
79,"Inspiron 5570","Intel Core i5 8250U 1.6GHz",4,59058,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon 530","Windows 10","2.2kg","Inspiron 5570.jpg",0,0,"KB216 ","UC300 with Mic","WM126 optical red",0
72,"Vostro 5468","Intel Core i3 6006U 2GHz",4,58023,"Notebook","14.0","Full HD 1920x1080","128GB SSD","Intel HD Graphics 520","Windows 10","1.6kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM126 optical red",0
82,"Vostro 3568","Intel Core i5 7200U 2.5GHz",8,59137,"Notebook","15.6","Full HD 1920x1080","256GB SSD","Intel HD Graphics 620","Windows 10","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM126 optical red",0
167,"Latitude 5580","Intel Core i5 7200U 2.5GHz",8,88074,"Notebook","15.6","Full HD 1920x1080","256GB SSD","Intel HD Graphics 620","Windows 10","1.9kg","Latitude.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
155,"Inspiron 5577","Intel Core i7 7700HQ 2.8GHz",8,83619,"Gaming","15.6","Full HD 1920x1080","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.56kg","Inspiron 5577.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
62,"Vostro 3568","Intel Core i5 7200U 2.5GHz",4,54011,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R5 M420","Windows 10","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
88,"Inspiron 5567","Intel Core i7 7500U 2.7GHz",8,61413,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R7 M445","Linux","2.33kg","Inspiron 5567.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
119,"Inspiron 5770","Intel Core i5 8250U 1.6GHz",8,70097,"Notebook","17.3","IPS Panel Full HD 1920x1080","128GB SSD +  1TB HDD","AMD Radeon 530","Linux","2.8kg","Inspiron 5770.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
121,"Inspiron 5567","Intel Core i5 7200U 2.5GHz",8,70097,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R7 M445","Windows 10","2.36kg","Inspiron 5567.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
130,"Inspiron 5370","Intel Core i7 8550U 1.8GHz",8,73478,"Ultrabook","13.3","IPS Panel Full HD 1920x1080","256GB SSD","AMD Radeon 530","Windows 10","1.4kg","Inspiron.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
108,"Inspiron 5570","Intel Core i7 8550U 1.8GHz",8,67416,"Notebook","15.6","Full HD 1920x1080","128GB SSD +  1TB HDD","Intel UHD Graphics 620","Windows 10","2.02kg","Inspiron 5570.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
139,"Inspiron 5570","Intel Core i7 8550U 1.8GHz",8,76555,"Notebook","15.6","Full HD 1920x1080","128GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.02kg","Inspiron 5570.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
104,"Vostro 5568","Intel Core i5 7200U 2.5GHz",8,65918,"Notebook","15.6","Full HD 1920x1080","1TB HDD","Intel HD Graphics 620","Windows 10","2.18kg","Vostro.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
134,"Inspiron 7567","Intel Core i5 7300HQ 2.5GHz",8,74828,"Gaming","15.6","Full HD 1920x1080","1.0TB Hybrid","Nvidia GeForce GTX 1050","Windows 10","2.65kg","Inspiron 7567.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
109,"Vostro 5468","Intel Core i5 7200U 2.5GHz",8,67732,"Notebook","14.0","Full HD 1920x1080","256GB SSD","Intel HD Graphics 620","Windows 10","1.6kg","Vostro.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
133,"Vostro 5370","Intel Core i5 8250U 1.6GHz",8,74828,"Ultrabook","13.3","Full HD 1920x1080","256GB SSD","Intel UHD Graphics 620","Windows 10","1.41kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
106,"Inspiron 5570","Intel Core i5 8250U 1.6GHz",8,66549,"Notebook","15.6","Full HD 1920x1080","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.33kg","Inspiron 5570.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
112,"Latitude 5580","Intel Core i5 7300U 2.6GHz",4,68520,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics 620","Linux","1.93kg","Latitude.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
138,"Vostro 5568","Intel Core i7 7500U 2.7GHz",8,75774,"Notebook","15.6","Full HD 1920x1080","1TB HDD","Nvidia GeForce GT 940MX","Windows 10","1.98kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
111,"Inspiron 5767","Intel Core i7 7500U 2.7GHz",8,68205,"Notebook","17.3","Full HD 1920x1080","1TB HDD","AMD Radeon R7 M445","Linux","2.83kg","Inspiron.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
98,"Latitude 3580","Intel Core i5 7200U 2.5GHz",8,63868,"Notebook","15.6","1366x768","128GB SSD","Intel HD Graphics 620","Windows 10","1.95kg","Latitude.jpg",0,0,"KB216 ","UC150 with Mic","MS116 optical",0
103,"Latitude 5580","Intel Core i5 7200U 2.5GHz",4,65051,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics 620","Windows 10","1.9kg","Latitude.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
129,"Inspiron 7567","Intel Core i7 7700HQ 2.8GHz",8,73251,"Gaming","15.6","Full HD 1920x1080","1TB HDD","Nvidia GeForce GTX 1050Ti","Linux","2.62kg","Inspiron 7567.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
113,"Inspiron 5379","Intel Core i7 8550U 1.8GHz",8,68521,"2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","256GB SSD","Intel UHD Graphics 620","Windows 10","1.62kg","Inspiron.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
11,"Inspiron 3567","Intel Core i3 7100U 2.4GHz",6,34615,"Notebook","15.6","Touchscreen 1366x768","1TB HDD","Intel HD Graphics 620","Windows 10","2.3kg","Inspiron 3567.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
80,"Inspiron 5567","Intel Core i7 7500U 2.7GHz",8,59058,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R7 M445","Windows 10","2.36kg","Inspiron 5567.jpg",5,0,"KB216 ","UC300 with Mic","WM126 optical red",0
