Id,Product,Cpu,Ram,Price,TypeName,Inches,ScreenResolution,Memory,Gpu,OpSys,Weight
80,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,59058,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg
81,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,59059,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg
82,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,59137,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg
83,Latitude 3480,Intel Core i5 6200U 2.3GHz,4,59531,Notebook,14,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.76kg
84,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,59847,Notebook,15.6,Full HD 1920x1080,2TB HDD,AMD Radeon 530,Windows 10,2.02kg
85,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8,60541,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Windows 10,2.13kg
86,Vostro 3559,Intel Core i5 6200U 2.3GHz,4,60647,Notebook,15.6,1366x768,500GB HDD,AMD Radeon R5 M315,Windows 7,2.24kg
87,Inspiron 5570,Intel Core i5 8250U 1.6GHz,4,61187,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 530,Windows 10,2.2kg
88,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,61413,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Linux,2.33kg
89,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,61818,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.5kg
90,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,62276,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420,Windows 10,2.18kg
91,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,62685,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg
92,Inspiron 5568,Intel Core i3 6100U 2.3GHz,4,62763,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel HD Graphics 520,Windows 10,2.08kg
93,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,62875,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
94,Inspiron 5368,Intel Core i7 6500U 2.5GHz,8,62923,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 520,Windows 10,1.62kg
95,Inspiron 5579,Intel Core i5 8250U 1.6GHz,8,63001,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67kg
96,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,63080,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
97,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,63552,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M430,Linux,2.3kg
98,Latitude 3580,Intel Core i5 7200U 2.5GHz,8,63868,Notebook,15.6,1366x768,128GB SSD,Intel HD Graphics 620,Windows 10,1.95kg
99,Inspiron 5370,Intel Core i5 8250U 1.6GHz,4,64526,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,1.4kg
100,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8,64578,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg
101,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8,64578,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08kg
102,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8,64578,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
103,Latitude 5580,Intel Core i5 7200U 2.5GHz,4,65051,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg
104,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,65918,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg
105,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8,66155,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg
106,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,66549,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.33kg
107,Latitude 3380,Intel Core i3 6006U 2GHz,4,66943,Notebook,13.3,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.65kg
108,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,67416,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg
109,Vostro 5468,Intel Core i5 7200U 2.5GHz,8,67732,Notebook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg
110,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,67732,Notebook,15.6,Full HD / Touchscreen 1920x1080,1TB HDD,AMD Radeon R7 M445,Windows 10,2.3kg
111,Inspiron 5767,Intel Core i7 7500U 2.7GHz,8,68205,Notebook,17.3,Full HD 1920x1080,1TB HDD,AMD Radeon R7 M445,Linux,2.83kg
112,Latitude 5580,Intel Core i5 7300U 2.6GHz,4,68520,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Linux,1.93kg
113,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8,68521,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg
114,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,68599,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
115,Latitude 5480,Intel Core i5 7200U 2.5GHz,4,68993,Notebook,14,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.6kg
116,Vostro 5471,Intel Core i5 8250U 1.6GHz,8,69309,Ultrabook,14,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg
117,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8,69309,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
118,Inspiron 7559,Intel Core i7 6700HQ 2.6GHz,16,69309,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.59kg
119,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8,70097,Notebook,17.3,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg
120,Inspiron 5378,Intel Core i5 7200U 2.5GHz,8,70097,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.68kg
121,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,70097,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Windows 10,2.36kg
122,Vostro 5568,Intel Core i7 7500U 2.7GHz,8,70571,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GT 940MX,Linux,1.98kg
123,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,70886,Gaming,15.6,Full HD 1920x1080,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.62kg
124,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,70886,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Linux,2.36kg
125,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,70886,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Windows 10,2.33kg
126,XPS 13,Intel Core i5 7200U 2.5GHz,8,70886,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,128GB SSD,Intel HD Graphics 620,Windows 10,1.29kg
127,Vostro 5568,Intel Core i5 7200U 2.5GHz,4,71950,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.18kg
128,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,72463,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
129,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,73251,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050Ti,Linux,2.62kg
130,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8,73478,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,1.4kg
131,Latitude 5580,Intel Core i5 7300U 2.6GHz,8,73724,Notebook,15.6,Full HD 1920x1080,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg
132,Latitude 5580,Intel Core i5 7200U 2.5GHz,8,74513,Notebook,15.6,Full HD 1920x1080,128GB SSD,Intel HD Graphics 620,Windows 10,1.9kg
133,Vostro 5370,Intel Core i5 8250U 1.6GHz,8,74828,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.41kg
134,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,8,74828,Gaming,15.6,Full HD 1920x1080,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.65kg
135,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8,75301,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,1.4kg
136,Latitude 3580,Intel Core i5 7200U 2.5GHz,8,75301,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,2.06kg
137,Latitude 5580,Intel Core i5 7300U 2.6GHz,4,75617,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.93kg
138,Vostro 5568,Intel Core i7 7500U 2.7GHz,8,75774,Notebook,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GT 940MX,Windows 10,1.98kg
139,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,76555,Notebook,15.6,Full HD 1920x1080,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02kg
140,XPS 13,Intel Core i5 8250U 1.6GHz,8,77194,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg
141,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8,77194,Notebook,17.3,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg
142,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,77194,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.36kg
143,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,77667,Notebook,15.6,Full HD 1920x1080,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2kg
144,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,8,77667,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.62kg
145,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,78060,Notebook,15.6,Full HD 1920x1080,2TB HDD,AMD Radeon R7 M445,Windows 10,2.32kg
146,Inspiron 7773,Intel Core i5 8250U 1.6GHz,12,78771,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77kg
147,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8,78771,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.65kg
148,Inspiron 7579,Intel Core i5 7200U 2.5GHz,8,78771,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.191kg
149,Latitude 5580,Intel Core i5 7300U 2.6GHz,8,79521,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg
150,Vostro 5568,Intel Core i7 7500U 2.7GHz,8,79630,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.18kg
151,Latitude E5570,Intel Core i5 6300U 2.4GHz,8,82511,Notebook,15.6,Full HD 1920x1080,500GB HDD,Intel HD Graphics 520,Windows 10,2.09kg
152,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8,82713,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.56kg
153,Inspiron 5570,Intel Core i7 8550U 1.8GHz,16,82713,Notebook,15.6,Full HD 1920x1080,256GB SSD +  2TB HDD,AMD Radeon 530,Linux,2.02kg
154,Inspiron 7570,Intel Core i5 8250U 1.6GHz,8,82713,Ultrabook,15.6,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,1.9kg
155,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,8,83619,Gaming,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
156,Latitude E5570,Intel Core i5 6300U 2.4GHz,8,83813,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 520,Windows 7,2.09kg
157,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8,85552,Notebook,17.3,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg
158,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8,85552,Notebook,17.3,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg
159,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,8,85867,Notebook,14,Full HD 1920x1080,256GB SSD,Nvidia GeForce 930MX,Linux,1.64kg
160,Inspiron 5578,Intel Core i5 7200U 2.7GHz,8,86261,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.3kg
