,Price,Cpu,Ram
110,31461.15,AMD A6-Series 9220 2.5GHz,4
111,31540,AMD A9-Series 9420 3GHz,4
112,31776.55,AMD A9-Series 9420 3GHz,4
113,31815.975,Intel Core i3 6006U 2GHz,4
114,32249.65,Intel Core i3 6006U 2GHz,4
115,32249.65,AMD A9-Series 9420 3GHz,6
116,32391.58,Intel Core i3 6006U 2GHz,4
117,35561.35,AMD A9-Series 9420 3GHz,4
118,35931.945,Intel Core i3 6006U 2.0GHz,4
119,36192.15,Intel Core i3 7100U 2.4GHz,8
120,36192.15,Intel Core i3 6006U 2GHz,8
121,36192.15,Intel Core i3 6100U 2.3GHz,8
122,36192.15,Intel Core i3 6006U 2.0GHz,8
123,36192.15,Intel Core i3 7100U 2.4GHz,6
124,36192.15,Intel Core i3 7100U 2.4GHz,6
125,36192.15,Intel Core i3 7100U 2.4GHz,6
126,36263.115,Intel Celeron Dual Core 3855U 1.6GHz,4
127,36456.2975,Intel Core i5 6200U 2.3GHz,4
128,36665.25,Intel Core i3 6006U 2GHz,4
129,36714.137,Intel Core i3 6006U 2.0GHz,4
130,36744.1,Intel Pentium Quad Core N4200 1.1GHz,4
131,36822.95,Intel Core i5 7200U 2.5GHz,4
132,36901.8,Intel Core i5 7200U 2.5GHz,4
133,36901.8,Intel Core i3 6006U 2GHz,4
134,36980.65,AMD A9-Series 9420 3GHz,4
135,36980.65,Intel Core i3 6006U 2GHz,4
136,36980.65,AMD A8-Series 7410 2.2GHz,8
137,36980.65,Intel Core i3 6006U 2GHz,4
138,36980.65,Intel Core i3 6006U 2GHz,4
139,36980.65,Intel Core i3 6006U 2.0GHz,4
140,36981.4385,Intel Core i3 7100U 2.4GHz,8
141,37086.309,Intel Pentium Quad Core N4200 1.1GHz,4
142,37453.75,Intel Celeron Dual Core N3060 1.6GHz,4
143,37610.6615,Intel Core i5 6200U 2.3GHz,4
