,Price,Cpu,Ram
46,37769.15,Intel Core i3 6006U 2GHz,4
47,37769.15,Intel Atom x5-Z8550 1.44GHz,4
48,38004.123,Intel Core i3 6100U 2.3GHz,4
49,38242.25,Intel Core i3 6006U 2GHz,4
50,38242.25,Intel Pentium Quad Core N3710 1.6GHz,4
51,38242.25,Intel Core i5 7200U 2.5GHz,4
52,38533.2065,Intel Core i5 7200U 2.5GHz,4
53,38556.8615,AMD A9-Series 9420 3GHz,4
54,38557.65,Intel Core i3 7100U 2.4GHz,4
55,38557.65,Intel Core i3 6006U 2GHz,4
56,38557.65,Intel Core i3 6006U 2GHz,8
57,38557.65,AMD A8-Series 7410 2.2GHz,4
58,38557.65,AMD A9-Series 9420 3GHz,4
59,38628.615,Intel Core i5 7200U 2.5GHz,4
60,38628.615,Intel Core i3 6006U 2GHz,4
61,38636.5,Intel Core i3 6006U 2GHz,4
62,38873.05,Intel Core i5 6200U 2.3GHz,4
63,39030.75,Intel Celeron Dual Core N3350 1.1GHz,8
64,39267.3,Intel Core i5 7200U 2.5GHz,4
65,39267.3,Intel Core i3 6100U 2.1GHz,4
66,39338.265,Intel Core i3 6006U 2GHz,4
67,39346.15,Intel Core i3 7100U 2.4GHz,8
68,39346.15,Intel Core i5 7200U 2.5GHz,4
69,39346.15,AMD A10-Series 9600P 2.4GHz,6
70,39346.15,Intel Core i3 6006U 2GHz,8
71,39346.15,AMD A9-Series 9420 3GHz,4
72,39346.15,Intel Core i3 6006U 2GHz,4
73,39346.15,Intel Pentium Dual Core 4405U 2.1GHz,4
74,39346.15,Intel Core i3 7100U 2.4GHz,4
75,39346.15,Intel Core i3 6006U 2GHz,4
76,39346.15,Intel Core i5 7200U 2.5GHz,4
77,39346.15,Intel Core i3 6006U 2.0GHz,4
78,39425,Intel Pentium Quad Core N3710 1.6GHz,4
79,40134.65,Intel Core i3 7100U 2.4GHz,4
80,40134.65,Intel Core i3 7100U 2.4GHz,4
81,40923.15,Intel Core i5 7200U 2.5GHz,8
82,40923.15,AMD A6-Series 9220 2.5GHz,8
83,40923.15,Intel Core i5 7200U 2.5GHz,4
84,41072.965,AMD A9-Series 9420 3GHz,8
85,41117.9095,Intel Core i5 8250U 1.6GHz,4
86,41148.661,Intel Core i5 7200U 2.5GHz,4
87,41237.7615,Intel Core i5 7200U 2.5GHz,8
88,41288.2255,Intel Core i5 6200U 2.3GHz,4
89,41711.65,Intel Core i3 6006U 2GHz,4
90,41711.65,AMD A12-Series 9720P 2.7GHz,6
91,41790.5,Intel Core i3 7130U 2.7GHz,4
92,41790.5,Intel Pentium Quad Core N3710 1.6GHz,4
93,42184.75,Intel Core i5 6200U 2.3GHz,4
94,42500.15,Intel Core i3 6006U 2GHz,6
95,42500.15,Intel Core i3 6006U 2GHz,8
96,42500.15,Intel Core i5 7200U 2.5GHz,8
97,42575.0575,Intel Core i5 7200U 2.5GHz,8
98,42579,Intel Core i5 6200U 2.3GHz,4
99,42894.4,Intel Core i3 6006U 2GHz,4
100,42906.2275,Intel Core i3 6006U 2GHz,8
101,43026.0795,Intel Core i3 6006U 2GHz,4
102,43130.95,Intel Core i3 7100U 2.4GHz,4
103,43288.65,Intel Core i5 7200U 2.5GHz,4
104,43288.65,Intel Core i5 7200U 2.5GHz,8
105,43288.65,Intel Core i5 7200U 2.5GHz,8
106,43288.65,Intel Core i5 7200U 2.5GHz,6
107,43288.65,Intel Core i3 7100U 2.4GHz,4
108,43288.65,AMD A12-Series 9720P 3.6GHz,6
109,43288.65,Intel Atom x5-Z8550 1.44GHz,4
110,43366.7115,AMD A9-Series 9410 2.9GHz,6
111,43366.7115,AMD A9-Series 9410 2.9GHz,6
112,43366.7115,AMD A9-Series 9410 2.9GHz,6
113,43604.05,Intel Celeron Quad Core N3450 1.1GHz,4
114,43948.6245,Intel Core i5 7200U 2.5GHz,8
115,44045.61,Intel Core i3 6006U 2.0GHz,4
116,44077.15,Intel Core i5 7200U 2.5GHz,8
117,44077.15,Intel Core i5 7200U 2.5GHz,4
118,44077.15,Intel Core i5 7200U 2.5GHz,4
119,44077.15,Intel Core i5 7200U 2.5GHz,4
120,44471.4,Intel Core i3 6006U 2GHz,4
121,44471.4,Intel Core i5 7200U 2.5GHz,6
122,44550.25,Intel Core i5 7200U 2.5GHz,8
123,44550.25,Intel Core i3 6006U 2.0GHz,4
124,44857.765,AMD A10-Series A10-9620P 2.5GHz,6
125,44865.65,Intel Core i5 7200U 2.5GHz,4
126,44865.65,AMD A10-Series 9600P 2.4GHz,6
127,44865.65,Intel Core i3 6100U 2.3GHz,6
128,45102.2,Intel Core i3 7130U 2.7GHz,4
129,45181.05,Intel Core i5 7200U 2.5GHz,8
130,45338.75,Intel Core i5 7200U 2.5GHz,8
131,45338.75,AMD A10-Series A10-9620P 2.5GHz,4
132,45496.45,Intel Core i3 7100U 2.4GHz,6
133,45654.15,Intel Core i5 7200U 2.5GHz,6
134,45654.15,AMD A10-Series 9620P 2.5GHz,8
135,45654.15,Intel Core i3 6006U 2GHz,4
136,45654.15,Intel Core i5 6300HQ 2.3GHz,4
137,45654.15,Intel Core i7 7500U 2.7GHz,6
138,45654.15,Intel Core i5 7200U 2.5GHz,8
139,45882.815,Intel Pentium Dual Core N4200 1.1GHz,8
140,46127.25,Intel Core i5 7200U 2.5GHz,4
141,46127.25,Intel Core i3 6006U 2GHz,4
142,46221.0815,Intel Core i5 7200U 2.5GHz,4
143,46253.41,Intel Core i3 7100U 2.4GHz,4
144,46442.65,Intel Core i5 7200U 2.5GHz,8
145,46442.65,Intel Core i3 6006U 2GHz,8
146,46442.65,Intel Core i5 7200U 2.5GHz,4
147,46442.65,Intel Core i5 7200U 2.5GHz,8
148,46483.652,Intel Core i5 7200U 2.5GHz,8
149,46521.5,Intel Core i5 7200U 2.5GHz,8
150,47073.45,Intel Core i5 7200U 2.5GHz,8
151,47073.45,Intel Core i3 7100U 2.4GHz,8
152,47118.3945,AMD A12-Series 9720P 3.6GHz,6
153,47152.3,Intel Core i7 7500U 2.7GHz,8
154,47152.3,Intel Core i3 6006U 2GHz,4
155,47223.265,Intel Core i5 7200U 2.5GHz,4
156,47230.3615,Intel Core i5 7200U 2.5GHz,8
157,47231.15,Intel Core i3 7130U 2.7GHz,8
158,47231.15,Intel Core i3 7130U 2.7GHz,4
159,47231.15,Intel Core i5 7200U 2.5GHz,4
160,47231.15,Intel Core i5 7200U 2.5GHz,4
161,47231.15,Intel Core i5 6200U 2.3GHz,8
162,47302.115,Intel Core i7 7500U 2.7GHz,8
163,47467.7,Intel Core i5 6200U 2.3GHz,4
164,47546.55,Intel Core M 7Y30 1.0GHz,4
165,48019.65,Intel Core i7 8550U 1.8GHz,12
166,48019.65,Intel Core i5 7200U 2.5GHz,4
167,48304.2985,Intel Core i5 7200U 2.5GHz,4
168,48335.05,Intel Core i5 8250U 1.6GHz,4
169,48413.9,Intel Core i3 6006U 2.0GHz,4
170,48492.75,Intel Celeron Dual Core N3350 1.1GHz,4
171,48492.75,Intel Pentium Dual Core 4405Y 1.5GHz,4
172,48571.6,Intel Core i5 7200U 2.5GHz,4
173,48721.415,Intel Core i3 6006U 2GHz,4
174,48807.3615,Intel Core i5 7200U 2.5GHz,8
175,48808.15,Intel Core i5 8250U 1.6GHz,6
176,48808.15,Intel Core i3 7100U 2.4GHz,8
177,48808.15,Intel Core i5 7200U 2.5GHz,4
178,49001.3325,Intel Core i5 7200U 2.5GHz,4
179,49596.65,Intel Core i5 7200U 2.5GHz,8
180,49596.65,Intel Core i3 7100U 2.4GHz,4
181,49596.65,AMD A12-Series 9700P 2.5GHz,8
182,49596.65,Intel Core i7 7500U 2.7GHz,8
183,49596.65,Intel Core i7 6500U 2.5GHz,8
184,49596.65,Intel Core i3 6006U 2.0GHz,8
185,49675.5,Intel Core i3 7130U 2.7GHz,4
186,50148.6,Intel Core i3 7100U 2.4GHz,4
187,50306.3,Intel Core i7 6500U 2.5GHz,4
188,50306.3,Intel Core i7 6500U 2.5GHz,4
189,50306.3,Intel Core i7 6500U 2.5GHz,4
190,50369.38,Intel Core i5 7200U 2.5GHz,8
191,50384.3615,Intel Core i5 7200U 2.5GHz,8
192,50385.15,Intel Core i5 7200U 2.5GHz,4
193,50385.15,Intel Core i5 7200U 2.5GHz,8
194,50385.15,Intel Core i7 7500U 2.7GHz,4
195,50385.9385,Intel Core i5 7200U 2.5GHz,6
196,50456.115,Intel Core i3 6006U 2GHz,8
197,50958.3895,Intel Atom x5-Z8550 1.44GHz,4
198,51015.95,Intel Core i5 8250U 1.6GHz,8
199,51173.65,Intel Core i5 7200U 2.5GHz,6
200,51173.65,AMD A9-Series A9-9420 3GHz,6
201,51173.65,Intel Core i3 7100U 2.4GHz,4
202,51173.65,Intel Core i5 7200U 2.5GHz,12
203,51173.65,Intel Core i5 6200U 2.3GHz,8
204,51173.65,Intel Core i5 6200U 2.3GHz,4
205,51252.5,AMD A9-Series A9-9420 3GHz,6
206,51252.5,Intel Core i3 6100U 2.3GHz,4
207,51646.75,Intel Core i3 7130U 2.7GHz,4
208,51646.75,Intel Core i5 6200U 2.3GHz,4
209,51647.5385,AMD A10-Series 9620P 2.5GHz,6
210,51804.45,Intel Core i5 7200U 2.5GHz,4
211,51962.15,Intel Core i7 8550U 1.8GHz,8
212,51962.15,Intel Core i5 7200U 2.5GHz,6
213,51962.15,Intel Core i7 7500U 2.7GHz,12
214,51962.15,AMD A12-Series 9720P 2.7GHz,8
215,51962.15,Intel Core i5 8250U 1.6GHz,8
216,51962.15,Intel Core i3 6006U 2.0GHz,4
217,51962.15,Intel Core i5 6200U 2.3GHz,8
218,51962.15,Samsung Cortex A72&A53 2.0GHz,4
219,51962.9385,Intel Core i7 7500U 2.7GHz,8
220,52277.55,Intel Core i5 8250U 1.6GHz,8
221,52435.25,Intel Core i3 6006U 2GHz,8
222,52709.648,Intel Core i3 7100U 2.4GHz,4
223,52750.65,Intel Core M M3-6Y30 0.9GHz,4
224,52750.65,Intel Core i3 7100U 2.4GHz,4
225,52750.65,Intel Core i7 6500U 2.5GHz,8
226,53223.75,Intel Core i5 8250U 1.6GHz,4
227,53223.75,Intel Core i5 8250U 1.6GHz,8
228,53409.0475,Intel Core i5 8250U 1.6GHz,8
229,53539.15,Intel Core i7 6500U 2.5GHz,8
230,53775.7,Intel Core i5 8250U 1.6GHz,4
231,53933.4,Intel Core i3 7100U 2.4GHz,4
232,53996.48,Intel Core i5 7200U 2.5GHz,4
233,54011.4615,Intel Core i5 7200U 2.5GHz,4
234,54012.25,Intel Core i5 8250U 1.6GHz,4
235,54012.25,Intel Core i7 7500U 2.7GHz,8
236,54012.25,Intel Core i3 7100U 2.4GHz,4
237,54327.65,Intel Core i7 8550U 1.8GHz,8
238,54327.65,Intel Core i5 6200U 2.3GHz,8
239,54327.65,Intel Core i3 6006U 2GHz,4
240,54327.65,Intel Core i3 6006U 2GHz,4
241,54327.65,Intel Core i7 7500U 2.7GHz,4
242,54406.5,Intel Core i5 7200U 2.5GHz,8
243,54485.35,Intel Core i5 7200U 2.5GHz,4
244,54721.1115,Intel Core i5 8250U 1.6GHz,12
245,54800.75,Intel Core i5 7200U 2.5GHz,6
246,55037.3,Intel Core i5 8250U 1.6GHz,8
247,55116.15,Intel Core i7 8550U 1.8GHz,8
248,55116.15,AMD FX 9830P 3GHz,8
249,55116.15,Intel Core i5 7200U 2.5GHz,4
250,55116.15,Intel Core i5 7200U 2.5GHz,6
251,55116.15,Intel Core i3 7100U 2.4GHz,4
252,55116.15,Intel Core i3 6006U 2GHz,4
253,55116.15,Intel Core i5 7200U 2.5GHz,4
254,55352.7,Intel Core i3 7130U 2.7GHz,4
255,55601.0775,Intel Core i3 6100U 2.3GHz,4
256,55628.675,Intel Core i3 7100U 2.4GHz,4
257,55830.531,Intel Core i5 7200U 2.5GHz,4
258,55904.65,Intel Core i5 7300HQ 2.5GHz,8
259,55904.65,Intel Core i7 7500U 2.7GHz,8
260,56225.5695,Intel Core i7 7500U 2.7GHz,12
261,56298.1115,Intel Core i5 7200U 2.5GHz,8
262,56456.6,Intel Core i3 7100U 2.4GHz,8
263,56693.15,Intel Core i7 7500U 2.7GHz,8
264,56693.15,Intel Core i5 7200U 2.5GHz,6
265,56693.15,Intel Core i3 7100U 2.4GHz,4
266,56693.15,Intel Core i5 8250U 1.6GHz,8
267,56797.232,Intel Core i7 6500U 2.5GHz,4
268,56797.232,Intel Core i7 6500U 2.5GHz,4
269,56797.232,Intel Core i7 6500U 2.5GHz,4
270,56929.7,Intel Core i5 8250U 1.6GHz,4
271,56929.7,Intel Core i5 8250U 1.6GHz,4
272,57245.1,Intel Core i5 8250U 1.6GHz,4
273,57245.1,Intel Core i5 7200U 2.5GHz,8
274,57402.8,Intel Core i5 8250U 1.6GHz,8
275,57481.65,Intel Core M 6Y30 0.9GHz,8
276,57481.65,Intel Core M 6Y30 0.9GHz,8
277,57481.65,Intel Core M 6Y30 0.9GHz,8
278,57552.615,Intel Core i5 6200U 2.3GHz,4
279,57954.75,Intel Core i3 7100U 2.4GHz,4
280,57960.2695,Intel Core i7 8550U 1.8GHz,8
281,58023.3495,Intel Core i3 6006U 2GHz,4
